"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"at-medprod-ingredient","Ingredient.substance.code.concept.coding:substanceSMS.version","Ingredient.substance.code.concept.coding.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured, and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.code.concept.coding:substanceSMS.code","Ingredient.substance.code.concept.coding.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","","","","","",,,,,"",,,,"Coding.code",0,1,"cod-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.code.concept.coding:substanceSMS.display","Ingredient.substance.code.concept.coding.display","","","",1,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"cod-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.code.concept.coding:substanceSMS.userSelected","Ingredient.substance.code.concept.coding.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - e.g. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.code.concept.text","Ingredient.substance.code.concept.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.code.reference","Ingredient.substance.code.reference","","","",0,1,"","","Y","Reference {[]} {[]}
","Reference to a resource (by instance)","A reference to a resource the provides exact details about the information being referenced.","","","","","","","","","",,,,,"",,,,"CodeableReference.reference",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength","Ingredient.substance.strength","","","",1,1,"","","Y","BackboneElement {[]} {[]}
","Active ingredient strength & unit","The quantity of substance in the unit of presentation, or in the volume (or mass) of the single pharmaceutical product or manufactured item. The allowed repetitions do not represent different strengths, but are different representations - mathematically equivalent - of a single strength.","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
atLeastOnePresentationOrOneConcentrationInvariant:There must be at least one presentation or one concentration. {presentation.count() >=1 or concentration.count() >=1}"
"at-medprod-ingredient","Ingredient.substance.strength.id","Ingredient.substance.strength.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"at-medprod-ingredient","Ingredient.substance.strength.extension","Ingredient.substance.strength.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"at-medprod-ingredient","Ingredient.substance.strength.modifierExtension","Ingredient.substance.strength.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"at-medprod-ingredient","Ingredient.substance.strength.presentation[x]","Ingredient.substance.strength.presentation[x]","","","",0,1,"","","Y","Ratio {[]} {[]}
RatioRange {[]} {[]}CodeableConcept {[]} {[]}Quantity {[]} {[]}","The quantity of substance in the unit of presentation","The quantity of substance in the unit of presentation, or in the volume (or mass) of the single pharmaceutical product or manufactured item. Unit of presentation refers to the quantity that the item occurs in e.g. a strength per tablet size, perhaps 'per 20mg' (the size of the tablet). It is not generally normalized as a unitary unit, which would be 'per mg').","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.presentation[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.textPresentation","Ingredient.substance.strength.textPresentation","","","",0,1,"","","Y","string {[]} {[]}
","Text of either the whole presentation strength or a part of it (rest being in Strength.presentation as a ratio)","A textual represention of either the whole of the presentation strength or a part of it - with the rest being in Strength.presentation as a ratio.","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.textPresentation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.concentration[x]","Ingredient.substance.strength.concentration[x]","","","",0,1,"","","Y","Ratio {[]} {[]}
RatioRange {[]} {[]}CodeableConcept {[]} {[]}Quantity {[]} {[]}","The strength per unitary volume (or mass)","The strength per unitary volume (or mass).","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.concentration[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.textConcentration","Ingredient.substance.strength.textConcentration","","","",0,1,"","","Y","string {[]} {[]}
","Text of either the whole concentration strength or a part of it (rest being in Strength.concentration as a ratio)","A textual represention of either the whole of the concentration strength or a part of it - with the rest being in Strength.concentration as a ratio.","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.textConcentration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.basis","Ingredient.substance.strength.basis","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","A code that indicates if the strength is, for example, based on the ingredient substance as stated or on the substance base (when the ingredient is a salt)","A code that indicates if the strength is, for example, based on the ingredient substance as stated or on the substance base (when the ingredient is a salt).","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.basis",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.measurementPoint","Ingredient.substance.strength.measurementPoint","","","",0,1,"","","Y","string {[]} {[]}
","When strength is measured at a particular point or distance","For when strength is measured at a particular point or distance. There are products where strength is measured at a particular point. For example, the strength of the ingredient in some inhalers is measured at a particular position relative to the point of aerosolization.","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.measurementPoint",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.country","Ingredient.substance.strength.country","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Where the strength range applies","The country or countries for which the strength range applies.","","","","","","","","","",,"example","Jurisdiction codes","http://hl7.org/fhir/ValueSet/country","",,,,"Ingredient.substance.strength.country",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.referenceStrength","Ingredient.substance.strength.referenceStrength","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Strength expressed in terms of a reference substance","Strength expressed in terms of a reference substance. For when the ingredient strength is additionally expressed as equivalent to the strength of some other closely related substance (e.g. salt vs. base). Reference strength represents the strength (quantitative composition) of the active moiety of the active substance. There are situations when the active substance and active moiety are different, therefore both a strength and a reference strength are needed.","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.referenceStrength",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.referenceStrength.id","Ingredient.substance.strength.referenceStrength.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"at-medprod-ingredient","Ingredient.substance.strength.referenceStrength.extension","Ingredient.substance.strength.referenceStrength.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"at-medprod-ingredient","Ingredient.substance.strength.referenceStrength.modifierExtension","Ingredient.substance.strength.referenceStrength.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"at-medprod-ingredient","Ingredient.substance.strength.referenceStrength.substance","Ingredient.substance.strength.referenceStrength.substance","","","",1,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceDefinition]]}
","Reference ingredient","Relevant reference substance.","","","","","","","","","",,"example","This value set includes all substance codes from SNOMED CT - provided as an exemplar value set.","http://hl7.org/fhir/ValueSet/substance-codes","",,,,"Ingredient.substance.strength.referenceStrength.substance",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.referenceStrength.strength[x]","Ingredient.substance.strength.referenceStrength.strength[x]","","","",1,1,"","","Y","Ratio {[]} {[]}
RatioRange {[]} {[]}Quantity {[]} {[]}","Reference ingredient strength & unit","Strength expressed in terms of a reference substance.","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.referenceStrength.strength[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.referenceStrength.measurementPoint","Ingredient.substance.strength.referenceStrength.measurementPoint","","","",0,1,"","","Y","string {[]} {[]}
","When strength is measured at a particular point or distance","For when strength is measured at a particular point or distance.","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.referenceStrength.measurementPoint",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-ingredient","Ingredient.substance.strength.referenceStrength.country","Ingredient.substance.strength.referenceStrength.country","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Where the strength range applies","The country or countries for which the strength range applies.","","","","","","","","","",,"example","Jurisdiction codes","http://hl7.org/fhir/ValueSet/country","",,,,"Ingredient.substance.strength.referenceStrength.country",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition","ManufacturedItemDefinition","","","",0,*,"","","","null {[]} {[]}
","The definition and characteristics of a medicinal manufactured item, such as a tablet or capsule, as contained in a packaged medicinal product","The definition and characteristics of a medicinal manufactured item, such as a tablet or capsule, as contained in a packaged medicinal product.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().ofType(canonical) | %resource.descendants().ofType(uri) | %resource.descendants().ofType(url))) or descendants().where(reference = '#').exists() or descendants().where(ofType(canonical) = '#').exists() or descendants().where(ofType(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.id","ManufacturedItemDefinition.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.meta","ManufacturedItemDefinition.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.implicitRules","ManufacturedItemDefinition.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of its narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.language","ManufacturedItemDefinition.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"required","IETF language tag for a human language","http://hl7.org/fhir/ValueSet/all-languages|5.0.0","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.text","ManufacturedItemDefinition.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have a narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"dom-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.contained","ManufacturedItemDefinition.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, nor can they have their own independent transaction scope. This is allowed to be a Parameters resource if and only if it is referenced by a resource that provides context/meaning.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags in their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"dom-2
dom-4dom-3dom-5",""
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.extension","ManufacturedItemDefinition.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.modifierExtension","ManufacturedItemDefinition.modifierExtension","","extensions
user content","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.identifier","ManufacturedItemDefinition.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Unique identifier","Unique identifier.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.status","ManufacturedItemDefinition.status","","","",1,1,"","Y","Y","code {[]} {[]}
","draft | active | retired | unknown","The status of this item. Enables tracking the life-cycle of the content.","Allows filtering of manufactured items that are appropriate for use versus not.","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""active""/>","","","",,"required","The lifecycle status of an artifact.","http://hl7.org/fhir/ValueSet/publication-status|5.0.0","",,,,"ManufacturedItemDefinition.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.name","ManufacturedItemDefinition.name","","","",0,1,"","","Y","string {[]} {[]}
","A descriptive name applied to this item","A descriptive name applied to this item.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.manufacturedDoseForm","ManufacturedItemDefinition.manufacturedDoseForm","","","",1,1,"","","","CodeableConcept {[CanonicalType[https://www.ages.at/fhir/medicinalproduct/StructureDefinition/at-medprod-codeableconcept]]} {[]}
","Concept - reference to a terminology or just  text","A concept that may be defined by a formal reference to a terminology or ontology or may be provided by text.","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.","","","","","","","","",,"required","","https://ema.europa.eu/fhir/vs/pharmaceuticalDoseForm","",,,,"ManufacturedItemDefinition.manufacturedDoseForm",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.unitOfPresentation","ManufacturedItemDefinition.unitOfPresentation","","","",0,1,"","","","CodeableConcept {[CanonicalType[https://www.ages.at/fhir/medicinalproduct/StructureDefinition/at-medprod-codeableconcept]]} {[]}
","Concept - reference to a terminology or just  text","A concept that may be defined by a formal reference to a terminology or ontology or may be provided by text.","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.","","","","","","","","",,"required","","https://ema.europa.eu/fhir/vs/unitsOfPresentation","",,,,"ManufacturedItemDefinition.unitOfPresentation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.manufacturer","ManufacturedItemDefinition.manufacturer","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Manufacturer of the item, one of several possible","Manufacturer of the item, one of several possible.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.manufacturer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.marketingStatus","ManufacturedItemDefinition.marketingStatus","","","",0,*,"","","Y","MarketingStatus {[]} {[]}
","Allows specifying that an item is on the market for sale, or that it is not available, and the dates and locations associated","Allows specifying that an item is on the market for sale, or that it is not available, and the dates and locations associated.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.marketingStatus",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.ingredient","ManufacturedItemDefinition.ingredient","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The ingredients of this manufactured item. Only needed if these are not specified by incoming references from the Ingredient resource","The ingredients of this manufactured item. This is only needed if the ingredients are not specified by incoming references from the Ingredient resource.","","","","","","","","","",,"example","This value set includes all substance codes from SNOMED CT - provided as an exemplar value set.","http://hl7.org/fhir/ValueSet/substance-codes","",,,,"ManufacturedItemDefinition.ingredient",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.property","ManufacturedItemDefinition.property","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","General characteristics of this item","General characteristics of this item.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.property",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.property.id","ManufacturedItemDefinition.property.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"at-medprod-manufacturedItemDefinition","ManufacturedItemDefinition.property.extension","ManufacturedItemDefinition.property.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
